SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
046_pect_phfirst_122010,right,2.3899,y = -2.3899x + 14.7789,2.5852,2.2231,2.4203
046_pect_phfirst_122010,whole,2.3772,y = -2.3772x + 15.2400,2.5471,2.2268,2.3861
047_pect_phfirst_041312,left,2.2570,y = -2.2570x + 14.0403,2.4103,2.1112,2.2621
047_pect_phfirst_041312,right,2.3105,y = -2.3105x + 14.5333,2.5615,2.1110,2.3379
047_pect_phfirst_041312,whole,2.2871,y = -2.2871x + 15.0055,2.5111,2.1131,2.3047
048_pect_phfirst_013114,left,2.3227,y = -2.3227x + 13.3156,2.4783,2.2514,2.3195
048_pect_phfirst_013114,right,2.2922,y = -2.2922x + 13.6617,2.4797,2.1967,2.2972
048_pect_phfirst_013114,whole,2.3039,y = -2.3039x + 14.1940,2.4402,2.2374,2.2883
050_pect_phfirst_012213_5mmfilter1,left,2.4065,y = -2.4065x + 13.9591,2.5440,2.2406,2.4158
050_pect_phfirst_012213_5mmfilter1,right,2.3884,y = -2.3884x + 14.1566,2.5933,2.2137,2.3954
050_pect_phfirst_012213_5mmfilter1,whole,2.3975,y = -2.3975x + 14.7570,2.5606,2.2236,2.4131
051_pect_phfirst_021513,left,2.4268,y = -2.4268x + 14.9746,2.6432,2.2018,2.4738
051_pect_phfirst_021513,right,2.4302,y = -2.4302x + 14.9344,2.6609,2.1890,2.4899
051_pect_phfirst_021513,whole,2.4281,y = -2.4281x + 15.6474,2.6570,2.1923,2.4829
053_pect_phfirst_101613,left,2.3691,y = -2.3691x + 13.9251,2.5130,2.2135,2.4039
053_pect_phfirst_101613,right,2.4592,y = -2.4592x + 14.7243,2.6708,2.2503,2.4665
053_pect_phfirst_101613,whole,2.4265,y = -2.4265x + 15.0898,2.5985,2.2470,2.4349
059_pect_phfirst_052013,left,2.3400,y = -2.3400x + 14.0207,2.5241,2.1782,2.3626
