SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
328_pect_phfirst_100617,left,2.5146,y = -2.5146x + 14.6035,2.6308,2.3826,2.5294
328_pect_phfirst_100617,right,2.5150,y = -2.5150x + 14.8514,2.6496,2.3838,2.5140
328_pect_phfirst_100617,whole,2.5141,y = -2.5141x + 15.4272,2.6381,2.3827,2.5176
332_pect_phfirst_110115,left,2.2782,y = -2.2782x + 12.5678,2.4199,2.1302,2.2745
332_pect_phfirst_110115,right,2.2624,y = -2.2624x + 12.8713,2.4918,2.1089,2.2850
332_pect_phfirst_110115,whole,2.2738,y = -2.2738x + 13.4315,2.4591,2.1279,2.3008
335_pect_phfirst_012318,left,2.4360,y = -2.4360x + 14.1876,2.5552,2.3035,2.4393
335_pect_phfirst_012318,right,2.4426,y = -2.4426x + 14.5483,2.6362,2.2751,2.4773
335_pect_phfirst_012318,whole,2.4406,y = -2.4406x + 15.0788,2.6029,2.2856,2.4798
336_pect_phfirst_050117,left,2.2236,y = -2.2236x + 12.6109,2.3671,2.0036,2.2879
336_pect_phfirst_050117,right,2.3061,y = -2.3061x + 13.1845,2.5051,2.0376,2.3194
336_pect_phfirst_050117,whole,2.2749,y = -2.2749x + 13.6310,2.4734,2.0267,2.2896
339_pect_phfirst_010518,left,2.3973,y = -2.3973x + 14.0433,2.5452,2.2589,2.4185
339_pect_phfirst_010518,right,2.4086,y = -2.4086x + 14.4078,2.6059,2.2475,2.4390
339_pect_phfirst_010518,whole,2.4035,y = -2.4035x + 14.9350,2.5768,2.2549,2.4367
340_pect_phfirst_111617,left,2.2831,y = -2.2831x + 14.2386,2.5453,2.1140,2.2969
340_pect_phfirst_111617,right,2.2839,y = -2.2839x + 14.4284,2.5351,2.1298,2.2986
340_pect_phfirst_111617,whole,2.2831,y = -2.2831x + 15.0303,2.5317,2.1249,2.2985
342_pect_phfirst_011618,left,2.3155,y = -2.3155x + 13.0110,2.4574,2.1163,2.3198
342_pect_phfirst_011618,whole,2.3039,y = -2.3039x + 13.4786,2.4331,2.1216,2.3129
344_pect_phfirst_041118,left,2.4263,y = -2.4263x + 13.9636,2.5739,2.2778,2.4311
344_pect_phfirst_041118,whole,2.3990,y = -2.3990x + 14.4555,2.5338,2.2916,2.4019
345_pect_phfirst_071918,left,2.3686,y = -2.3686x + 13.7522,2.5327,2.2024,2.4107
345_pect_phfirst_071918,right,2.3609,y = -2.3609x + 13.8571,2.5045,2.2327,2.3990
345_pect_phfirst_071918,whole,2.3614,y = -2.3614x + 14.4932,2.4901,2.2215,2.3956
347_pect_phfirst_041417,left,2.3084,y = -2.3084x + 13.7174,2.5698,2.1428,2.3240
347_pect_phfirst_041417,right,2.3267,y = -2.3267x + 14.1100,2.6272,2.1319,2.3614
347_pect_phfirst_041417,whole,2.3154,y = -2.3154x + 14.6207,2.5406,2.1356,2.3371
348_pect_phfirst_061218,right,2.5617,y = -2.5617x + 15.0834,2.6560,2.4843,2.5680
348_pect_phfirst_061218,whole,2.5585,y = -2.5585x + 15.6325,2.6256,2.4924,2.5677
349_pect_phfirst_030218,left,2.4317,y = -2.4317x + 14.1392,2.5485,2.3042,2.4741
349_pect_phfirst_030218,right,2.4400,y = -2.4400x + 14.4998,2.6281,2.2990,2.4629
349_pect_phfirst_030218,whole,2.4356,y = -2.4356x + 15.0275,2.5815,2.2995,2.4670
352_pect_phfirst_031318,left,2.4518,y = -2.4518x + 14.7676,2.6077,2.2913,2.4380
352_pect_phfirst_031318,right,2.3588,y = -2.3588x + 14.2153,2.5227,2.2240,2.3858
352_pect_phfirst_031318,whole,2.4119,y = -2.4119x + 15.2168,2.5783,2.2654,2.4433
353_pect_phfirst_042513,left,2.3327,y = -2.3327x + 13.7292,2.6315,2.0968,2.3892
353_pect_phfirst_042513,right,2.3497,y = -2.3497x + 13.9481,2.6582,2.0760,2.3569
353_pect_phfirst_042513,whole,2.3395,y = -2.3395x + 14.5344,2.6216,2.0863,2.3432
362_pect_phfirst_082318,left,2.2889,y = -2.2889x + 13.9208,2.5379,2.0452,2.3344
362_pect_phfirst_082318,right,2.2982,y = -2.2982x + 14.1140,2.6474,2.0096,2.3472
362_pect_phfirst_082318,whole,2.2945,y = -2.2945x + 14.7167,2.5830,2.0260,2.3426
363_pect_phfirst_042018,left,2.4583,y = -2.4583x + 14.1237,2.5409,2.3671,2.4720
363_pect_phfirst_042018,right,2.4891,y = -2.4891x + 14.4165,2.6065,2.3605,2.5003
363_pect_phfirst_042018,whole,2.4755,y = -2.4755x + 14.9736,2.5341,2.3629,2.4859
364_pect_phfirst_031618,left,2.4323,y = -2.4323x + 13.9708,2.5818,2.2929,2.4408
364_pect_phfirst_031618,right,2.4359,y = -2.4359x + 14.2557,2.5831,2.2667,2.4428
364_pect_phfirst_031618,whole,2.4332,y = -2.4332x + 14.8150,2.5935,2.2788,2.4430
365_pect_phfirst_020617,left,2.3219,y = -2.3219x + 13.4048,2.5972,2.0545,2.3247
365_pect_phfirst_020617,right,2.3337,y = -2.3337x + 13.6917,2.6033,2.0605,2.3440
365_pect_phfirst_020617,whole,2.3271,y = -2.3271x + 14.2497,2.5563,2.0578,2.3436
366_pect_phfirst_033018,left,2.3504,y = -2.3504x + 13.9230,2.5523,2.2160,2.3537
366_pect_phfirst_033018,right,2.3535,y = -2.3535x + 14.2642,2.5244,2.2154,2.3749
366_pect_phfirst_033018,whole,2.3509,y = -2.3509x + 14.7994,2.5300,2.2159,2.3731
367_pect_phfirst_040718,left,2.3114,y = -2.3114x + 13.0545,2.5859,2.0681,2.3065
367_pect_phfirst_040718,right,2.3531,y = -2.3531x + 13.1868,2.5668,2.1136,2.3780
367_pect_phfirst_040718,whole,2.3281,y = -2.3281x + 13.8087,2.5386,2.0922,2.3531
368_pect_phfirst_060618,left,2.3763,y = -2.3763x + 13.6317,2.5784,2.1967,2.3770
368_pect_phfirst_060618,right,2.3548,y = -2.3548x + 13.7985,2.5215,2.1615,2.3434
368_pect_phfirst_060618,whole,2.3654,y = -2.3654x + 14.4129,2.5527,2.1752,2.3577
371_pect_phfirst_081818,left,2.3667,y = -2.3667x + 14.3072,2.5006,2.2410,2.3970
371_pect_phfirst_081818,right,2.3749,y = -2.3749x + 14.4380,2.5195,2.2459,2.3998
371_pect_phfirst_081818,whole,2.3711,y = -2.3711x + 15.0680,2.4954,2.2429,2.3999
375_pect_phfirst_080314,left,2.2199,y = -2.2199x + 14.5907,2.4848,2.0573,2.2151
375_pect_phfirst_080314,right,2.2819,y = -2.2819x + 14.9261,2.6522,2.0641,2.2983
375_pect_phfirst_080314,whole,2.2537,y = -2.2537x + 15.4631,2.5674,2.0616,2.2596
376_pect_phfirst_031816,left,2.3637,y = -2.3637x + 14.7687,2.5746,2.2095,2.3635
376_pect_phfirst_031816,right,2.4308,y = -2.4308x + 14.8614,2.5492,2.3257,2.4503
376_pect_phfirst_031816,whole,2.3945,y = -2.3945x + 15.5043,2.5474,2.2665,2.4002
377_pect_phfirst_112311,left,2.3102,y = -2.3102x + 14.0765,2.4852,2.1644,2.3312
377_pect_phfirst_112311,right,2.3493,y = -2.3493x + 14.1904,2.4476,2.2119,2.3870
377_pect_phfirst_112311,whole,2.3324,y = -2.3324x + 14.8310,2.4594,2.1926,2.3626
378_pect_phfirst_081715,left,2.2628,y = -2.2628x + 13.4093,2.5289,2.0832,2.2792
378_pect_phfirst_081715,right,2.1896,y = -2.1896x + 13.4271,2.4292,2.0251,2.1936
378_pect_phfirst_081715,whole,2.2217,y = -2.2217x + 14.1067,2.4913,2.0554,2.2333
379_pect_phfirst_010113,left,2.3490,y = -2.3490x + 13.3292,2.5804,2.1557,2.3604
379_pect_phfirst_010113,right,2.3341,y = -2.3341x + 13.4706,2.4516,2.1322,2.3370
379_pect_phfirst_010113,whole,2.3402,y = -2.3402x + 14.0943,2.5036,2.1417,2.3474
380_pect_phfirst_043016,left,2.2725,y = -2.2725x + 14.3906,2.5535,2.1071,2.2845
380_pect_phfirst_043016,right,2.2973,y = -2.2973x + 14.6952,2.6171,2.1156,2.3122
380_pect_phfirst_043016,whole,2.2885,y = -2.2885x + 15.2514,2.5753,2.1107,2.3014
381_pect_phfirst_020713,left,2.3358,y = -2.3358x + 13.5107,2.5568,2.0910,2.3487
381_pect_phfirst_020713,right,2.3914,y = -2.3914x + 13.8929,2.6017,2.1053,2.4031
381_pect_phfirst_020713,whole,2.3638,y = -2.3638x + 14.4061,2.5657,2.0984,2.3789
382_pect_phfirst_032517,left,2.3334,y = -2.3334x + 14.3499,2.6218,2.1441,2.3731
382_pect_phfirst_032517,right,2.3606,y = -2.3606x + 14.5073,2.6103,2.1475,2.4100
382_pect_phfirst_032517,whole,2.3477,y = -2.3477x + 15.1252,2.6185,2.1433,2.3943
383_pect_phfirst_102514,left,2.4051,y = -2.4051x + 14.6654,2.5991,2.2894,2.4215
383_pect_phfirst_102514,right,2.4230,y = -2.4230x + 14.8714,2.6103,2.2926,2.4475
383_pect_phfirst_102514,whole,2.4132,y = -2.4132x + 15.4646,2.6120,2.2893,2.4365
384_pect_phfirst_102914,left,2.4052,y = -2.4052x + 14.3456,2.5640,2.2624,2.4312
384_pect_phfirst_102914,right,2.4214,y = -2.4214x + 14.5819,2.6129,2.2655,2.4500
384_pect_phfirst_102914,whole,2.4145,y = -2.4145x + 15.1650,2.5655,2.2653,2.4457
385_pect_phfirst_040317,left,2.3344,y = -2.3344x + 13.1514,2.5869,2.0491,2.3607
385_pect_phfirst_040317,right,2.2982,y = -2.2982x + 13.1049,2.4876,2.0219,2.3251
385_pect_phfirst_040317,whole,2.3207,y = -2.3207x + 13.8284,2.5394,2.0354,2.3523
386_pect_phfirst_080817,left,2.2798,y = -2.2798x + 13.6979,2.5446,2.0164,2.3301
386_pect_phfirst_080817,right,2.2360,y = -2.2360x + 13.7753,2.6185,1.9621,2.2895
386_pect_phfirst_080817,whole,2.2552,y = -2.2552x + 14.4286,2.5560,1.9840,2.2957
387_pect_phfirst_090117,left,2.3022,y = -2.3022x + 13.7594,2.5683,2.0514,2.3747
387_pect_phfirst_090117,right,2.2874,y = -2.2874x + 13.7603,2.6063,2.0534,2.3059
387_pect_phfirst_090117,whole,2.2929,y = -2.2929x + 14.4500,2.5049,2.0524,2.3525
388_pect_phfirst_080516,left,2.2801,y = -2.2801x + 12.5652,2.5578,2.1421,2.2704
388_pect_phfirst_080516,right,2.3275,y = -2.3275x + 12.9582,2.4746,2.1176,2.3780
388_pect_phfirst_080516,whole,2.2986,y = -2.2986x + 13.4582,2.4184,2.1435,2.2968
