SID,Lobe,Fractal_Dimension,Linear_Fit,R_Squared,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
025_pect_phfirst_013008,right,2.3731,y = -2.3731x + 14.4784,0.9984855101689845,2.6010,2.1834,2.3966
025_pect_phfirst_013008,whole,2.3553,y = -2.3553x + 15.0362,0.9986623500704537,2.5674,2.1781,2.3767
026_pect_phfirst_050413,left,2.3769,y = -2.3769x + 13.8486,0.9990154018490519,2.5807,2.2121,2.4059
026_pect_phfirst_050413,right,2.3937,y = -2.3937x + 14.1817,0.9985021416231137,2.6005,2.1951,2.4267
026_pect_phfirst_050413,whole,2.3856,y = -2.3856x + 14.7206,0.99876287140027,2.5819,2.2022,2.4180
028_pect_phfirst_063011,left,2.3809,y = -2.3809x + 13.8874,0.9991917727849768,2.5412,2.2335,2.4110
028_pect_phfirst_063011,right,2.3171,y = -2.3171x + 13.7960,0.9990682834606351,2.5393,2.1770,2.3201
028_pect_phfirst_063011,whole,2.3484,y = -2.3484x + 14.5342,0.9991605556661075,2.5505,2.2073,2.3651
029_pect_phfirst_072211,left,2.3532,y = -2.3532x + 14.3328,0.9987954025278172,2.5865,2.1878,2.3822
029_pect_phfirst_072211,right,2.3964,y = -2.3964x + 14.6513,0.9985315250844158,2.6107,2.2094,2.4247
029_pect_phfirst_072211,whole,2.3753,y = -2.3753x + 15.1940,0.9987084438168462,2.5948,2.1976,2.3973
030_pect_phfirst_071812,left,2.3218,y = -2.3218x + 13.7669,0.9988705223066785,2.5894,2.1527,2.3231
030_pect_phfirst_071812,right,2.3191,y = -2.3191x + 14.1461,0.9989388278773405,2.5686,2.1685,2.3376
030_pect_phfirst_071812,whole,2.3193,y = -2.3193x + 14.6660,0.9989507192129831,2.4791,2.1629,2.3304
031_pect_phfirst_080410,left,2.2815,y = -2.2815x + 14.4613,0.9986092520803926,2.5264,2.1277,2.2877
031_pect_phfirst_080410,right,2.3918,y = -2.3918x + 14.5530,0.9983602673426663,2.6411,2.1931,2.4334
031_pect_phfirst_080410,whole,2.3315,y = -2.3315x + 15.1933,0.9985431745671189,2.5598,2.1606,2.3545
032_pect_phfirst_060308,left,2.3637,y = -2.3637x + 14.5914,0.9986158914048154,2.5803,2.1844,2.3823
032_pect_phfirst_060308,right,2.3354,y = -2.3354x + 14.6541,0.997983843686011,2.6106,2.1338,2.3652
032_pect_phfirst_060308,whole,2.3483,y = -2.3483x + 15.3158,0.9983374346283872,2.5948,2.1589,2.3830
036_pect_phfirst_050713,left,2.3897,y = -2.3897x + 14.6079,0.9985198689763659,2.6382,2.1983,2.4134
036_pect_phfirst_050713,right,2.3936,y = -2.3936x + 14.8495,0.9979410135969576,2.6815,2.1692,2.4312
036_pect_phfirst_050713,whole,2.3929,y = -2.3929x + 15.4305,0.9982009485190125,2.6438,2.1817,2.4267
042_pect_phfirst_071112,left,2.4177,y = -2.4177x + 14.4957,0.9985445714892132,2.5931,2.2313,2.4501
042_pect_phfirst_071112,right,2.4330,y = -2.4330x + 14.7277,0.9984867506723963,2.6277,2.2389,2.4667
042_pect_phfirst_071112,whole,2.4237,y = -2.4237x + 15.3076,0.9985679843831511,2.6344,2.2338,2.4580
044_pect_phfirst_090810,left,2.3535,y = -2.3535x + 13.7032,0.999635352473832,2.5135,2.2543,2.3614
044_pect_phfirst_090810,right,2.3577,y = -2.3577x + 14.0254,0.9993018047951886,2.5205,2.2375,2.3565
044_pect_phfirst_090810,whole,2.3535,y = -2.3535x + 14.5672,0.999492309659304,2.4890,2.2427,2.3710
046_pect_phfirst_122010,left,2.3549,y = -2.3549x + 14.2412,0.999298090870449,2.6013,2.2212,2.3706
046_pect_phfirst_122010,right,2.3899,y = -2.3899x + 14.7789,0.998844107073348,2.5852,2.2231,2.4203
046_pect_phfirst_122010,whole,2.3772,y = -2.3772x + 15.2400,0.9989988204561453,2.5471,2.2268,2.3861
047_pect_phfirst_041312,left,2.2570,y = -2.2570x + 14.0403,0.9989251278589685,2.4103,2.1112,2.2621
047_pect_phfirst_041312,right,2.3105,y = -2.3105x + 14.5333,0.9980172448926692,2.5615,2.1110,2.3379
047_pect_phfirst_041312,whole,2.2871,y = -2.2871x + 15.0055,0.9984901782966462,2.5111,2.1131,2.3047
048_pect_phfirst_013114,left,2.3227,y = -2.3227x + 13.3156,0.9998169062167124,2.4783,2.2514,2.3195
048_pect_phfirst_013114,right,2.2922,y = -2.2922x + 13.6617,0.9997074599981172,2.4797,2.1967,2.2972
048_pect_phfirst_013114,whole,2.3039,y = -2.3039x + 14.1940,0.9997810004116736,2.4402,2.2374,2.2883
050_pect_phfirst_012213_5mmfilter1,left,2.4065,y = -2.4065x + 13.9591,0.9991056416399635,2.5440,2.2406,2.4158
050_pect_phfirst_012213_5mmfilter1,right,2.3884,y = -2.3884x + 14.1566,0.9988265617755101,2.5933,2.2137,2.3954
050_pect_phfirst_012213_5mmfilter1,whole,2.3975,y = -2.3975x + 14.7570,0.9989517911313943,2.5606,2.2236,2.4131
051_pect_phfirst_021513,left,2.4268,y = -2.4268x + 14.9746,0.9980009458200897,2.6432,2.2018,2.4738
051_pect_phfirst_021513,right,2.4302,y = -2.4302x + 14.9344,0.9977601454471396,2.6609,2.1890,2.4899
051_pect_phfirst_021513,whole,2.4281,y = -2.4281x + 15.6474,0.9978914027861373,2.6570,2.1923,2.4829
053_pect_phfirst_101613,left,2.3691,y = -2.3691x + 13.9251,0.999156582813483,2.5130,2.2135,2.4039
053_pect_phfirst_101613,right,2.4592,y = -2.4592x + 14.7243,0.9984792802036663,2.6708,2.2503,2.4665
053_pect_phfirst_101613,whole,2.4265,y = -2.4265x + 15.0898,0.9987949502564873,2.5985,2.2470,2.4349
059_pect_phfirst_052013,left,2.3400,y = -2.3400x + 14.0207,0.998900585250305,2.5241,2.1782,2.3626
059_pect_phfirst_052013,right,2.3659,y = -2.3659x + 14.3904,0.9981918102300633,2.5926,2.1645,2.4045
059_pect_phfirst_052013,whole,2.3530,y = -2.3530x + 14.9118,0.99857622428986,2.5755,2.1696,2.3745
062_pect_phfirst_121610,left,2.3767,y = -2.3767x + 14.1482,0.9990568296057767,2.5520,2.2220,2.3965
062_pect_phfirst_121610,right,2.3973,y = -2.3973x + 14.4437,0.9982858359400768,2.6273,2.1829,2.4456
