feature,lobe,artery_or_vein,FD_type,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_1_4_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1.4,91,2.289951956,0.05848866,2.124399574,2.254266336,2.294751266,2.334251836,2.396533751,37,2.303429723,0.05552999,2.188009702,2.263410537,2.313611591,2.346584946,2.390955935,12,2.26095317,0.068603264,2.124399574,2.247394774,2.277245643,2.288929158,2.365946926,42,2.286364053,0.055820021,2.127715562,2.253565566,2.294953177,2.320893314,2.396533751,,0.034881699,0.033993881,0.178034334,0.075029758,0.192205716,0.077045541
FDs_FACTOR_1_5_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1.5,91,2.298436006,0.058111636,2.136656041,2.263257594,2.302617121,2.34313391,2.404819725,37,2.311532065,0.055448281,2.196439878,2.272143985,2.320581622,2.353459088,2.40019184,12,2.269940191,0.067427547,2.137900439,2.255684592,2.285242473,2.297934033,2.374784322,42,2.295040663,0.055580942,2.136656041,2.262306944,2.304060837,2.330625474,2.404819725,,0.037476171,0.035785417,0.191600591,0.076430781,0.194082964,0.083237994
FDs_20SizeBy1_allOffsets_ArtVein__Fractal_Dimension,whole,artery,20SizeBy1,1,91,2.121188334,0.057866624,1.978656938,2.083584525,2.124370915,2.163170321,2.283414171,37,2.103295299,0.059734941,2.004196671,2.061417425,2.10026484,2.144415471,2.234853611,12,2.12861674,0.043366989,2.038431483,2.113104057,2.136281295,2.158889328,2.182026004,42,2.134828844,0.056719514,1.978656938,2.104244511,2.130581968,2.168936411,2.283414171,,0.182500261,0.066859731,0.018566186,0.008149652,0.727494156,0.437998008
FDs_20Size_allOffsets_ArtVein__Fractal_Dimension,whole,artery,,1,91,2.127570425,0.056497634,1.980050604,2.089618438,2.132265506,2.168123696,2.284206854,37,2.109814033,0.058016512,2.016162384,2.070153923,2.106351555,2.149509199,2.236671531,12,2.135615615,0.041757317,2.046430022,2.121063916,2.141058957,2.163344074,2.188882125,42,2.140914334,0.055656644,1.980050604,2.109790718,2.136567169,2.174318237,2.284206854,,0.161839127,0.05306422,0.017443423,0.00673836,0.761349321,0.44621079
FDs_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1,91,1.963791581,0.050277973,1.783273893,1.937723352,1.971686101,1.991596317,2.065196096,37,1.985728456,0.036636064,1.910127573,1.965117137,1.981949089,2.000260518,2.065196096,12,1.968135874,0.027934195,1.929924541,1.94531234,1.966089065,1.985024201,2.013866714,42,1.943225012,0.057341251,1.783273893,1.911265205,1.947280687,1.983575452,2.054619015,,0.13471749,0.066859731,0.000229946,0.000319977,0.153269661,0.071209617
FDs_20Size_ArtVein__Fractal_Dimension,whole,vein,,1,91,1.977687961,0.049231552,1.801344232,1.954509667,1.981178914,2.006218215,2.072775736,37,1.997932892,0.036285674,1.926068404,1.97086446,1.994827351,2.014765449,2.072775736,12,1.983368644,0.026001717,1.949408066,1.959867278,1.980597964,2.000193065,2.027290425,42,1.958230089,0.056707896,1.801344232,1.928848838,1.962723866,1.999732758,2.069158682,,0.205609091,0.083279262,0.000476051,0.000583,0.143867634,0.06571921
FDs_ArtVein__Fractal_Dimension,whole,vein,,1,91,2.09380499,0.062277242,1.869249722,2.053744604,2.097086082,2.136431592,2.227912611,37,2.128823588,0.045109161,2.023640899,2.095212967,2.125314312,2.161112917,2.227912611,12,2.090074422,0.058344405,1.976948825,2.056957134,2.083387464,2.129127882,2.186236054,42,2.064021149,0.06159756,1.869249722,2.028958637,2.073237233,2.10767632,2.167170255,,0.020239769,0.017685636,1.20E-06,1.57E-06,0.197148335,0.111770498
FDs_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1,91,2.178461963,0.073806412,1.956982474,2.142409395,2.180236042,2.238187955,2.304802959,37,2.2140474,0.061970072,2.056831357,2.167097674,2.222486363,2.2619585,2.304802959,12,2.148018951,0.088830967,1.956982474,2.124748591,2.174423582,2.201649603,2.259034153,42,2.155810892,0.067297977,1.997191234,2.108748704,2.158610358,2.201302085,2.289033942,,0.006095886,0.008056936,0.000153614,0.00013118,0.743594073,0.454446712
FDs_ManySize_ArtVein__Fractal_Dimension,whole,vein,,1,91,2.179391062,0.074575444,1.960508345,2.13869101,2.187275728,2.235310534,2.339609165,37,2.217049393,0.059338899,2.075901351,2.187275728,2.22182446,2.253795379,2.339609165,12,2.161692652,0.092572943,1.960508345,2.123780978,2.177780881,2.244248806,2.257429824,42,2.151272555,0.068087107,1.976914518,2.121858101,2.152938436,2.193411895,2.276483254,,0.018976108,0.041628786,1.98E-05,1.45E-05,0.668609827,0.242898364
FDs_DNN_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1,91,1.680712372,0.053133094,1.476052428,1.656133807,1.690677604,1.713252563,1.787851574,37,1.711876412,0.032085806,1.635564401,1.692489644,1.711249071,1.730840755,1.787851574,12,1.679359053,0.027960029,1.619096293,1.67045805,1.676405189,1.695134316,1.720856912,42,1.653645,0.058787066,1.476052428,1.618140308,1.659075088,1.692618952,1.767704779,,0.002915906,0.001516789,8.40E-07,1.12E-06,0.14996546,0.083237994
